# DISTANCE:     AVE_GOFR:        ERROR:
     2.50084    0.892997  0.00444891
     2.52649    0.895975  0.00375908
     2.55214    0.899576  0.00380987
   0.0128248           0           0
   0.0384745           0           0
   0.0641241           0           0
   0.0897737           0           0
    0.115423           0           0
    0.141073           0           0
    0.166723           0           0
    0.192372           0           0
    0.218022           0           0
    0.243672           0           0
    0.269321           0           0
    0.294971           0           0
     0.32062           0           0
     0.34627           0           0
     0.37192           0           0
    0.397569           0           0
    0.423219           0           0
    0.448869           0           0
    0.474518           0           0
    0.500168           0           0
    0.525818           0           0
    0.551467           0           0
    0.577117           0           0
    0.602767           0           0
    0.628416           0           0
    0.654066           0           0
    0.679715           0           0
    0.705365           0           0
    0.731015           0           0
    0.756664           0           0
    0.782314           0           0
    0.807964           0           0
    0.833613           0           0
    0.859263 1.62102e-05 1.05054e-05
    0.884913  0.00117383 0.000225221
    0.910562   0.0236421  0.00089339
    0.936212    0.166859  0.00241169
    0.961861    0.587778  0.00465343
    0.987511     1.22869  0.00504512
     1.01316     1.87638  0.00735229
     1.03881     2.34453  0.00960025
     1.06446     2.57068   0.0109032
     1.09011     2.55589   0.0135562
     1.11576     2.38975   0.0102234
     1.14141     2.16831   0.0105692
     1.16706      1.9402  0.00878341
     1.19271     1.73416  0.00670099
     1.21836      1.5423  0.00929403
     1.24401      1.3815   0.0114227
     1.26966     1.23381  0.00540991
     1.29531     1.11857  0.00906617
     1.32096     1.02985  0.00767241
     1.34661    0.942033  0.00549563
     1.37226    0.860501  0.00505271
     1.39791    0.810234  0.00897792
     1.42355    0.768184  0.00541921
      1.4492    0.734663  0.00633251
     1.47485    0.707198  0.00641704
      1.5005    0.694323  0.00478083
     1.52615    0.689623   0.0047559
      1.5518    0.678991  0.00476503
     1.57745    0.679477  0.00538727
      1.6031    0.692579  0.00231718
     1.62875    0.693493  0.00498353
      1.6544    0.710762  0.00504398
