#BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
         430    -5.16941    -5.38767   0.0227523
         431    -5.16631    -5.38715   0.0227053
         432    -5.16187    -5.38663   0.0226587
         433    -5.15746     -5.3861   0.0226126
         434    -5.15247    -5.38557   0.0225669
         435    -5.14738    -5.38502   0.0225217
         436     -5.1416    -5.38446   0.0224769
         437    -5.13561    -5.38389   0.0224327
         438    -5.12931    -5.38331    0.022389
         439    -5.12317    -5.38272   0.0223458
         440    -5.11664    -5.38211   0.0223032
         441    -5.10962    -5.38149   0.0222612
         442    -5.10216    -5.38086   0.0222198
         443    -5.09536    -5.38022    0.022179
         444    -5.08747    -5.37956   0.0221389
         445    -5.07976    -5.37888   0.0220994
         446    -5.07303     -5.3782   0.0220604
         447    -5.06628     -5.3775   0.0220221
         448    -5.05958    -5.37679   0.0219844
         449    -5.05328    -5.37607   0.0219472
         450    -5.04682    -5.37534   0.0219107
         451    -5.04086     -5.3746   0.0218746
         452    -5.03529    -5.37385   0.0218391
         453    -5.02985    -5.37309   0.0218041
         454    -5.02549    -5.37232   0.0217695
         455    -5.02147    -5.37155   0.0217353
         456    -5.01797    -5.37078   0.0217015
         457     -5.0144       -5.37    0.021668
         458    -5.01152    -5.36921   0.0216348
         459     -5.0095    -5.36843   0.0216019
         460    -5.00771    -5.36764   0.0215691
         461     -5.0066    -5.36686   0.0215366
         462      -5.006    -5.36608   0.0215041
         463    -5.00574     -5.3653   0.0214717
         464    -5.00638    -5.36453   0.0214394
         465    -5.00727    -5.36376   0.0214071
         466    -5.00869      -5.363   0.0213747
         467    -5.01058    -5.36224   0.0213422
         468     -5.0123     -5.3615   0.0213097
         469    -5.01439    -5.36076   0.0212771
         470    -5.01622    -5.36002   0.0212445
         471    -5.01878     -5.3593   0.0212117
         472    -5.02128    -5.35858   0.0211789
         473    -5.02412    -5.35788   0.0211459
         474    -5.02681    -5.35718   0.0211128
         475    -5.02887    -5.35649   0.0210797
         476    -5.03072     -5.3558   0.0210465
         477     -5.0334    -5.35513   0.0210132
         478    -5.03642    -5.35446   0.0209798
         479    -5.03828     -5.3538   0.0209464
         480    -5.03974    -5.35314    0.020913
         481    -5.04169     -5.3525   0.0208795
         482    -5.04371    -5.35186   0.0208461
         483    -5.04581    -5.35122   0.0208125
         484    -5.04726    -5.35059    0.020779
         485    -5.04885    -5.34997   0.0207455
         486    -5.05044    -5.34936   0.0207119
         487    -5.05209    -5.34875   0.0206784
         488    -5.05427    -5.34814   0.0206448
         489    -5.05641    -5.34755   0.0206112
         490    -5.05868    -5.34696   0.0205776
         491    -5.06141    -5.34637   0.0205439
         492    -5.06445     -5.3458   0.0205101
         493    -5.06706    -5.34524   0.0204763
         494    -5.06954    -5.34468   0.0204425
         495    -5.07203    -5.34413   0.0204086
         496    -5.07526    -5.34359   0.0203746
         497    -5.07893    -5.34305   0.0203406
         498    -5.08192    -5.34253   0.0203065
         499    -5.08514    -5.34201   0.0202724
         500    -5.08837    -5.34151   0.0202382
         501     -5.0919    -5.34101   0.0202039
         502    -5.09508    -5.34052   0.0201696
         503    -5.09803    -5.34003   0.0201353
         504    -5.10086    -5.33956   0.0201009
         505    -5.10416    -5.33909   0.0200665
         506    -5.10713    -5.33864   0.0200321
         507    -5.10976    -5.33818   0.0199977
         508    -5.11202    -5.33774   0.0199633
         509    -5.11435     -5.3373   0.0199289
         510    -5.11614    -5.33687   0.0198945
         511    -5.11829    -5.33644   0.0198602
         512    -5.11929    -5.33601   0.0198259
         513    -5.12063     -5.3356   0.0197917
         514    -5.12158    -5.33518   0.0197576
         515    -5.12274    -5.33477   0.0197235
         516    -5.12307    -5.33436   0.0196896
         517    -5.12349    -5.33395   0.0196557
         518    -5.12386    -5.33354   0.0196219
         519    -5.12391    -5.33314   0.0195883
         520    -5.12381    -5.33274   0.0195547
         521    -5.12358    -5.33233   0.0195213
         522    -5.12264    -5.33193   0.0194881
         523    -5.12164    -5.33153    0.019455
         524    -5.12076    -5.33113    0.019422
         525    -5.12032    -5.33073   0.0193891
         526    -5.11976    -5.33033   0.0193564
         527    -5.11895    -5.32992   0.0193239
         528    -5.11839    -5.32952   0.0192914
         529    -5.11809    -5.32912   0.0192591
         530    -5.11792    -5.32873   0.0192269
         531    -5.11823    -5.32833   0.0191947
         532    -5.11826    -5.32793   0.0191627
         533    -5.11893    -5.32754   0.0191308
         534    -5.11982    -5.32715   0.0190989
         535    -5.12031    -5.32677   0.0190671
         536    -5.12086    -5.32638   0.0190354
         537    -5.12251      -5.326   0.0190038
         538    -5.12406    -5.32563   0.0189721
         539    -5.12563    -5.32526   0.0189406
         540    -5.12735    -5.32489    0.018909
         541    -5.12936    -5.32453   0.0188775
         542    -5.13163    -5.32417   0.0188461
         543    -5.13399    -5.32382   0.0188146
         544    -5.13563    -5.32348   0.0187832
         545     -5.1373    -5.32314   0.0187519
         546    -5.14003     -5.3228   0.0187205
         547    -5.14182    -5.32247   0.0186892
         548    -5.14418    -5.32214   0.0186579
         549    -5.14632    -5.32182   0.0186267
         550    -5.14868    -5.32151   0.0185955
         551    -5.15097     -5.3212   0.0185643
         552    -5.15242    -5.32089   0.0185332
