#BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
         592    0.268451    0.159083   0.0342492
         593    0.131585    0.159036   0.0341915
         594    0.368871     0.15939   0.0341357
         595   -0.133065    0.158898   0.0340819
         596    0.107388    0.158812   0.0340248
         597  0.00499602    0.158554   0.0339688
         598   0.0163734    0.158316   0.0339128
         599    0.289938    0.158536   0.0338569
         600    0.373848    0.158895   0.0338024
         601   -0.291297    0.158146   0.0337545
         602   -0.251379    0.157466   0.0337052
         603   -0.126866    0.156994   0.0336526
         604   0.0475264    0.156813   0.0335974
         605      0.1409    0.156787   0.0335419
         606    0.225778      0.1569   0.0334867
         607    0.303776    0.157142   0.0334324
         608    0.476807    0.157668   0.0333816
         609    0.473919    0.158187   0.0333308
         610    0.842945     0.15931   0.0332951
         611     1.05067    0.160769   0.0332725
         612    0.785889     0.16179   0.0332338
         613    0.470059    0.162293   0.0331834
         614    0.453621    0.162768   0.0331328
         615     1.02355    0.164167   0.0331084
         616    0.600269    0.164875   0.0330623
         617    0.758758    0.165838   0.0330227
         618    0.338308    0.166117   0.0329704
         619    0.550957    0.166739    0.032923
         620    0.721461    0.167633   0.0328821
         621    0.925554    0.168854   0.0328518
         622    0.832371     0.16992   0.0328163
         623    0.909276    0.171107   0.0327851
         624    0.805068    0.172123   0.0327483
         625    0.471709    0.172603   0.0326994
         626    0.313998    0.172828   0.0326479
         627    0.405198    0.173199   0.0325979
         628    0.471142    0.173673   0.0325495
         629  0.00960123    0.173413   0.0324988
         630   -0.017601    0.173109   0.0324486
         631       0.074    0.172952   0.0323976
         632   0.0157043    0.172704   0.0323473
         633  -0.0527511    0.172347   0.0322981
         634  -0.0566375    0.171986   0.0322492
         635    0.115695    0.171898   0.0321985
         636    0.249535     0.17202   0.0321481
         637    0.375844     0.17234   0.0320993
         638     0.64171    0.173075   0.0320574
         639    0.672978    0.173858   0.0320168
         640    0.286765    0.174034   0.0319672
         641    0.515166    0.174566   0.0319218
         642    0.472803    0.175031   0.0318754
         643     0.44337    0.175448   0.0318286
         644    0.254736    0.175571   0.0317794
         645    0.258733      0.1757   0.0317304
         646   -0.153736     0.17519   0.0316854
         647   -0.336202      0.1744   0.0316463
         648   -0.420568    0.173482   0.0316107
         649   -0.596043    0.172296   0.0315843
         650   -0.111008     0.17186   0.0315387
         651   -0.173259     0.17133   0.0314947
         652    0.356877    0.171614   0.0314477
         653    0.297021    0.171807   0.0314001
         654    0.540837    0.172371   0.0313572
         655    0.952423    0.173562   0.0313319
         656     0.35742    0.173842   0.0312854
         657    0.261765    0.173976    0.031238
         658    0.368855    0.174272    0.031192
         659    0.425102    0.174653    0.031147
         660    0.888305    0.175734   0.0311185
         661    0.993238    0.176971    0.031096
         662    0.784809    0.177889   0.0310626
         663    0.614906    0.178548   0.0310227
         664    0.814331    0.179505   0.0309908
         665     1.04006      0.1808   0.0309712
         666    0.666669    0.181529   0.0309333
         667    0.481219    0.181978   0.0308902
         668     1.09826     0.18335   0.0308744
         669    0.981791    0.184544   0.0308513
         670     1.03044    0.185806   0.0308311
         671    0.531613    0.186321   0.0307894
         672    0.232929    0.186391   0.0307437
         673     0.29093    0.186546   0.0306984
         674    0.232429    0.186614   0.0306529
         675   -0.336888    0.185839   0.0306173
         676   0.0919283      0.1857   0.0305723
         677   -0.424176    0.184799   0.0305404
         678     -0.2303    0.184187   0.0305015
         679   -0.368251    0.183373   0.0304675
         680   -0.454356    0.182435   0.0304371
         681   -0.391048    0.181593    0.030404
         682   -0.976443    0.179895   0.0304068
         683   -0.636392      0.1787   0.0303858
         684   -0.289069    0.178016   0.0303491
         685   -0.718265    0.176708    0.030333
         686   -0.767185    0.175332   0.0303199
         687   -0.889208    0.173782   0.0303154
         688   -0.758638    0.172427   0.0303016
         689   -0.564739    0.171357   0.0302765
         690   -0.332815    0.170626   0.0302414
         691   -0.214806    0.170068   0.0302028
